backend,tag,image,w,h,n,K,seed,iters,load_ms,seed_ms,lloyd_ms,write_ms,h2d_ms,d2h_ms
seq,O3,data/test_1024.png,1024,1024,1048576,256,42,30,17.3528,252.3620,8704.0086,1.2176,,
cuda,v1,data/test_1024.png,1024,1024,1048576,256,42,30,19.6236,243.0354,108.7307,1.1690,0.5826,0.3565
cuda,v2,data/test_1024.png,1024,1024,1048576,256,42,30,17.3323,244.1189,75.7863,1.1355,0.5616,0.3430
cuda,v3,data/test_1024.png,1024,1024,1048576,256,42,30,22.1589,244.5295,72.3504,1.2263,0.5729,0.3283
cuda,v4,data/test_1024.png,1024,1024,1048576,256,42,30,19.4534,243.9435,108.1203,1.1755,0.5622,0.3288
seq,O3,data/test_1024.png,1024,1024,1048576,512,42,30,17.7214,472.9441,17582.9238,1.1673,,
cuda,v1,data/test_1024.png,1024,1024,1048576,512,42,30,17.3765,498.4903,403.9624,1.1113,0.5747,0.3249
cuda,v2,data/test_1024.png,1024,1024,1048576,512,42,30,17.7376,480.6446,141.1624,1.1463,0.5673,0.3306
cuda,v3,data/test_1024.png,1024,1024,1048576,512,42,30,18.2455,479.9505,138.4326,1.1493,0.5684,0.3314
cuda,v4,data/test_1024.png,1024,1024,1048576,512,42,30,17.7031,477.5191,416.2332,1.2315,0.5748,0.3295
seq,O3,data/test_1024.png,1024,1024,1048576,1024,42,30,17.2382,945.6772,35174.0723,1.2655,,
cuda,v1,data/test_1024.png,1024,1024,1048576,1024,42,30,21.1936,948.5035,1066.5590,1.2951,0.5796,0.3346
cuda,v2,data/test_1024.png,1024,1024,1048576,1024,42,30,21.2302,951.0530,272.0009,1.2699,0.5602,0.3441
cuda,v3,data/test_1024.png,1024,1024,1048576,1024,42,30,19.2301,963.2610,271.0344,1.2163,0.5735,0.3405
cuda,v4,data/test_1024.png,1024,1024,1048576,1024,42,30,20.0506,919.4878,1173.0472,1.2788,0.5700,0.3496
